market_id,question,token_id,timestamp,price,volume
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,43733606130528940205044160251042558452075452127523208530271932433923866468346,2025-10-26 07:00:17+00:00,0.005,
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,47658169051485508445992446379042231845418817840085137982403117294543142424957,2025-10-26 07:00:18+00:00,0.005,
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,43733606130528940205044160251042558452075452127523208530271932433923866468346,2025-10-26 07:10:05+00:00,0.005,
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,47658169051485508445992446379042231845418817840085137982403117294543142424957,2025-10-26 07:10:06+00:00,0.005,
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,43733606130528940205044160251042558452075452127523208530271932433923866468346,2025-10-26 07:20:15+00:00,0.0085,
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,47658169051485508445992446379042231845418817840085137982403117294543142424957,2025-10-26 07:20:15+00:00,0.0015,
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,43733606130528940205044160251042558452075452127523208530271932433923866468346,2025-10-26 07:30:16+00:00,0.0085,
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,47658169051485508445992446379042231845418817840085137982403117294543142424957,2025-10-26 07:30:17+00:00,0.0015,
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,43733606130528940205044160251042558452075452127523208530271932433923866468346,2025-10-26 07:40:15+00:00,0.0085,
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,47658169051485508445992446379042231845418817840085137982403117294543142424957,2025-10-26 07:40:16+00:00,0.0015,
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,43733606130528940205044160251042558452075452127523208530271932433923866468346,2025-10-26 07:50:14+00:00,0.0085,
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,47658169051485508445992446379042231845418817840085137982403117294543142424957,2025-10-26 07:50:15+00:00,0.0015,
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,43733606130528940205044160251042558452075452127523208530271932433923866468346,2025-10-26 08:00:16+00:00,0.0085,
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,47658169051485508445992446379042231845418817840085137982403117294543142424957,2025-10-26 08:00:17+00:00,0.0015,
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,43733606130528940205044160251042558452075452127523208530271932433923866468346,2025-10-26 08:10:12+00:00,0.0085,
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,47658169051485508445992446379042231845418817840085137982403117294543142424957,2025-10-26 08:10:13+00:00,0.0015,
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,43733606130528940205044160251042558452075452127523208530271932433923866468346,2025-10-26 08:20:11+00:00,0.0085,
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,47658169051485508445992446379042231845418817840085137982403117294543142424957,2025-10-26 08:20:12+00:00,0.0015,
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,43733606130528940205044160251042558452075452127523208530271932433923866468346,2025-10-26 08:30:15+00:00,0.0085,
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,47658169051485508445992446379042231845418817840085137982403117294543142424957,2025-10-26 08:30:16+00:00,0.0015,
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,43733606130528940205044160251042558452075452127523208530271932433923866468346,2025-10-26 08:40:13+00:00,0.0085,
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,47658169051485508445992446379042231845418817840085137982403117294543142424957,2025-10-26 08:40:13+00:00,0.0015,
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,43733606130528940205044160251042558452075452127523208530271932433923866468346,2025-10-26 08:50:12+00:00,0.0085,
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,47658169051485508445992446379042231845418817840085137982403117294543142424957,2025-10-26 08:50:13+00:00,0.0015,
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,47658169051485508445992446379042231845418817840085137982403117294543142424957,2025-10-26 09:00:19+00:00,0.0015,
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,43733606130528940205044160251042558452075452127523208530271932433923866468346,2025-10-26 09:00:19+00:00,0.0085,
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,43733606130528940205044160251042558452075452127523208530271932433923866468346,2025-10-26 09:10:14+00:00,0.0085,
bun-b04-hei-2025-11-08-b04,Will Bayer Leverkusen win on 2025-11-08?,47658169051485508445992446379042231845418817840085137982403117294543142424957,2025-10-26 09:10:15+00:00,0.0015,
